date,year,gamepk,type,game_type,temp,condition,wind,venue,home_team,away_team,batter,batter_name,stand,pitcher,pitcher_name,throws,events,description,inning,topbot,abnum,pitchnum,pitch_balls,pitch_strikes,pitch_outs,pitch_call,pitch_type,pitch_startSpeed,pitch_endSpeed,pitch_sz_top,pitch_sz_bot,pitch_x0,pitch_y0,pitch_z0,pitch_extension,pitch_vx0,pitch_vy0,pitch_vz0,pitch_ax,pitch_ay,pitch_az,pitch_pfx_x,pitch_pfx_z,pitch_px,pitch_pz,pitch_x,pitch_y,pitch_breakAngle,pitch_breakLength,pitch_break_y,pitch_spinrate,pitch_breakDirection,pitch_zone,pitch_plateTime,bip_EV,bip_VA,bip_distance,bip_type,bip_hardness,bip_location,bip_hc_x,bip_hc_y,MLB_playID,id
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,656305,Matt Chapman,R,592662,Robbie Ray,L,Strikeout,strikeout,1,top,3,1,0,0,0,Called Strike,FF,92.8,83.4,3.38,1.68,2.3,50,5.95,6.52,-10.3,-134.3,-9.25,10.22,33.7,-9.65,5.69,12.54,-0.88,1.74,150.43,191.89,32.4,3.6,24,2260,152,13,0.41,,,,,,,,,cd659c14-4611-4e28-ba3c-96ba1eb09e6b,632607-656305-592662-1-3-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,656305,Matt Chapman,R,592662,Robbie Ray,L,Strikeout,strikeout,1,top,3,2,0,1,2,Swinging Strike,FF,94.5,85.1,3.37,1.53,2.53,50.01,5.95,6.44,-9.86,-137.13,-3.59,14.12,34.21,-13.13,7.52,10.14,-0.16,3.71,122.97,138.7,39.6,3.6,24,2261,145,11,0.4,,,,,,,,,1830103d-eecb-4938-aeaa-56ee0186b1bf,632607-656305-592662-1-3-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,656305,Matt Chapman,R,592662,Robbie Ray,L,Strikeout,strikeout,1,top,3,3,0,2,2,Ball,FF,94.5,85,3.36,1.53,2.57,50.01,6.01,6.48,-6.94,-137.35,-3.69,7.46,35.06,-12.14,3.97,10.66,0.51,3.8,97.45,136.18,24,3.6,24,2332,148,12,0.4,,,,,,,,,1d549ddb-289f-4a5d-9d82-3b4ea67595fe,632607-656305-592662-1-3-3
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,656305,Matt Chapman,R,592662,Robbie Ray,L,Strikeout,strikeout,1,top,3,4,1,2,2,Ball In Dirt,SL,88.1,80.7,3.36,1.53,2.59,50,5.69,6.56,-9.13,-127.68,-9.38,1.98,27.36,-19.89,1.2,7.47,-0.88,0.39,150.66,228.18,0,4.8,24,2298,139,13,0.43,,,,,,,,,e5f7ea03-0c38-4a37-adae-c3ed25501230,632607-656305-592662-1-3-4
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,656305,Matt Chapman,R,592662,Robbie Ray,L,Strikeout,strikeout,1,top,3,5,2,2,2,Swinging Strike,SL,89.8,82.6,3.37,1.53,2.55,50,5.9,6.35,-7.37,-130.53,-6.9,0.79,27.35,-23.27,0.46,5.16,-0.25,1.47,126.4,199.2,1.2,6,24,2259,146,13,0.42,,,,,,,,,abf828fc-6bac-4962-8b1a-cf8c0d0e0a0b,632607-656305-592662-1-3-5
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543807,George Springer,R,608344,Cole Irvin,L,Groundout,field_out,1,bottom,4,1,0,0,0,Foul,SI,88.3,79.8,3.49,1.6,1.25,50,6.41,5.9,-5.25,-128.44,-4.12,13.6,29.78,-15.96,8.25,9.83,0.24,3.52,107.98,143.76,36,4.8,24,1787,145,12,0.43,,,,,,,,,ac6975f1-9df8-4a5b-874e-ecb4ccee84bc,632607-543807-608344-1-4-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543807,George Springer,R,608344,Cole Irvin,L,Groundout,field_out,1,bottom,4,2,0,1,0,"In play, out(s)",CH,84.6,76.8,3.49,1.6,1.43,50,6.22,6,-4.96,-123.03,-4.55,14.22,27.31,-22.96,9.39,6.09,0.59,2.37,94.42,174.85,28.8,7.2,24,1533,125,6,0.45,53,-66,4,ground_ball,soft,1,126.94,188.15,b9ffa7ca-e123-4ffb-b38f-7058002a1dba,632607-543807-608344-1-4-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543760,Marcus Semien,R,608344,Cole Irvin,L,Pop Out,field_out,1,bottom,5,1,0,0,0,Ball,SI,88.5,80.5,3.3,1.53,1.38,50.01,6.3,6,-2.56,-128.72,-6.49,15.76,28.93,-17.1,9.47,9.06,1.6,2.4,56.09,173.93,39.6,6,24,1883,147,14,0.43,,,,,,,,,42b4eace-c6e3-4f71-85ba-cad30079341c,632607-543760-608344-1-5-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543760,Marcus Semien,R,608344,Cole Irvin,L,Pop Out,field_out,1,bottom,5,2,1,0,1,Ball,FF,89.9,81.3,3.33,1.54,1.46,50,6.25,5.96,-1.66,-130.76,-4.54,12.64,30.95,-14.92,7.4,10.09,1.77,3.35,49.52,148.34,37.2,4.8,24,1994,146,12,0.42,,,,,,,,,ec6bec81-dc43-486c-8491-601c8436242f,632607-543760-608344-1-5-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543760,Marcus Semien,R,608344,Cole Irvin,L,Pop Out,field_out,1,bottom,5,3,2,0,1,Foul,SI,90.6,81.6,3.37,1.53,1.26,50,6.31,6.01,-4.92,-131.57,-6.62,16.98,32.32,-15.35,9.85,9.76,0.63,2.59,93.15,168.88,43.2,6,24,1921,145,6,0.42,,,,,,,,,a996d3f6-0405-41ca-bb67-0c5a97c08b41,632607-543760-608344-1-5-3
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543760,Marcus Semien,R,608344,Cole Irvin,L,Pop Out,field_out,1,bottom,5,4,2,1,1,Ball,FF,90.5,80.9,3.35,1.53,1.5,50,6.21,6.02,-0.98,-131.6,-5.13,12.77,34.67,-15.95,7.47,9.5,2.08,3.01,37.55,157.61,36,4.8,24,1940,142,12,0.42,,,,,,,,,908eb984-235d-4ed0-9825-4c280ae4f765,632607-543760-608344-1-5-4
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543760,Marcus Semien,R,608344,Cole Irvin,L,Pop Out,field_out,1,bottom,5,5,3,1,1,"In play, out(s)",SI,90.6,81.5,3.37,1.53,1.25,50,6.23,6.07,-4.85,-131.53,-7.54,14.95,32.64,-13.35,8.69,10.94,0.49,2.3,98.23,176.79,42,4.8,24,1928,146,6,0.42,83.2,76,69,popup,medium,3,141.35,180.06,c4c3bbf6-71ff-4e64-b60c-d2d282b7e350,632607-543760-608344-1-5-5
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,665489,Vladimir Guerrero Jr.,R,608344,Cole Irvin,L,Groundout,field_out,1,bottom,6,1,0,0,0,Ball,SI,90,81.5,3.59,1.71,1.29,50,6.24,6.17,-3.42,-130.74,-8.15,14.59,31.3,-16.76,8.55,9.03,1.07,1.78,76.28,190.59,36,6,24,1828,144,14,0.42,,,,,,,,,ffdc193a-7d68-4d25-848e-1fb0f6d469f7,632607-665489-608344-1-6-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,665489,Vladimir Guerrero Jr.,R,608344,Cole Irvin,L,Groundout,field_out,1,bottom,6,2,1,0,2,"In play, out(s)",SI,89.8,81.7,3.47,1.59,1.41,50.01,6.23,6.06,-4.77,-130.56,-6.22,13.08,29.66,-19.23,7.64,7.56,0.54,2.36,96.49,175.14,30,6,24,1821,145,6,0.42,112.9,-5,23,ground_ball,hard,4,144.3,146.3,9f5197f4-7896-4e5a-9b12-22499ac39fbe,632607-665489-608344-1-6-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,592192,Mark Canha,R,592662,Robbie Ray,L,Flyout,field_out,2,top,7,1,0,0,0,Called Strike,FF,92.8,84.4,3.17,1.47,2.59,50,5.95,6.5,-7.07,-134.79,-8.2,12.54,30.99,-13.59,6.86,10.16,0.82,1.89,85.74,187.62,36,4.8,24,2309,146,14,0.41,,,,,,,,,9e03d90b-cc07-4771-9b33-0b56f373960c,632607-592192-592662-2-7-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,592192,Mark Canha,R,592662,Robbie Ray,L,Flyout,field_out,2,top,7,2,0,1,0,Swinging Strike,FF,93.8,84.8,3.47,1.59,2.47,50,6.01,6.46,-6.64,-136.28,-4.88,12.72,33.16,-14.67,6.84,9.41,0.88,3.17,83.57,153.32,34.8,4.8,24,2274,143,12,0.4,,,,,,,,,234abc2d-628c-4564-a98d-0f6c5b47128f,632607-592192-592662-2-7-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,592192,Mark Canha,R,592662,Robbie Ray,L,Flyout,field_out,2,top,7,3,0,2,0,"In play, out(s)",SL,89.1,81,3.47,1.59,2.31,50.01,5.87,6.44,-7.66,-129.31,-6.59,2.36,29.71,-23.26,1.41,5.33,-0.52,1.47,136.77,199.01,1.2,6,24,2208,134,13,0.43,88,51,269,fly_ball,medium,7,57.73,115.23,77fcb4d9-1f0d-40b0-9ae0-a9923b809c11,632607-592192-592662-2-7-3
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543228,Yan Gomes,R,592662,Robbie Ray,L,Pop Out,field_out,2,top,8,1,0,0,0,Foul,FF,94.6,86.7,3.47,1.59,2.52,50,5.93,6.45,-7.95,-137.48,-6.92,12.7,29.55,-12.7,6.62,10.14,0.46,2.52,99.46,170.66,38.4,3.6,24,2297,146,6,0.4,,,,,,,,,e399923e-36f5-47fc-a6f8-ded60e6644c7,632607-543228-592662-2-8-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543228,Yan Gomes,R,592662,Robbie Ray,L,Pop Out,field_out,2,top,8,2,0,1,1,"In play, out(s)",FF,94.1,85.2,3.47,1.59,2.38,50,5.92,6.37,-8.74,-136.69,-5.34,11.22,32.67,-11.41,5.98,11.08,-0.1,3.14,120.87,153.92,36,3.6,24,2354,146,2,0.4,84.8,83,73,popup,medium,3,156.25,206.27,e942543c-b819-4dc2-87be-edfbe2aa9417,632607-543228-592662-2-8-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,501981,Khris Davis,R,592662,Robbie Ray,L,Strikeout,strikeout,2,top,9,1,0,0,0,Ball,CH,87.9,79.5,3.41,1.52,2.59,50,5.77,6.44,-7.21,-127.45,-8.48,8.29,29.69,-14.78,5.11,10.72,0.37,1.2,102.85,206.44,21.6,4.8,24,1678,137,14,0.43,,,,,,,,,13156aa2-8c3e-4c19-b5bc-66e354f55224,632607-501981-592662-2-9-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,501981,Khris Davis,R,592662,Robbie Ray,L,Strikeout,strikeout,2,top,9,2,1,0,2,Foul,FF,94.5,85.4,3.32,1.51,2.5,50,6.05,6.27,-7.43,-137.33,-4.89,11.72,33.5,-12.04,6.2,10.66,0.55,3.41,96.03,146.58,37.2,3.6,24,2389,152,12,0.4,,,,,,,,,d62a7e66-485c-4e69-a4e1-0cfd34720a68,632607-501981-592662-2-9-2
